Model_Name,Epoch,Training_Loss,Validation_Loss,Test_Loss,Test_Accuracy
AlexNet,1,0.226,,0.101,0.979
AlexNet,2,0.079,,0.105,0.979
AlexNet,3,0.044,,0.112,0.983
AlexNet,4,0.027,,0.115,0.979
AlexNet,5,0.02,,0.114,0.983
DenseNet,1,9.359,,0.211,0.878
DenseNet,2,3.213,,0.099,0.967
DenseNet,3,2.534,,0.056,0.983
DenseNet,4,2.99,,0.07,0.971
DenseNet,5,1.883,,0.051,0.975
VGG,1,15.655,,0.142,0.954
VGG,2,4.576,,0.13,0.966
VGG,3,3.451,,0.076,0.975
VGG,4,2.163,,0.13,0.962
VGG,5,1.652,,0.103,0.975
VGG_BN,1,11.79,,0.099,0.95
VGG_BN,2,3.732,,0.068,0.97
VGG_BN,3,2.297,,0.069,0.97
VGG_BN,4,2.066,,0.087,0.962
VGG_BN,5,3.05,,0.069,0.971
Simple_CNN_Resize,1,2.39,0.42,0.42,0.81
Simple_CNN_Resize,2,0.28,0.22,0.21,0.91
Simple_CNN_Resize,3,0.17,0.24,0.3,0.88
Simple_CNN_Resize,4,0.24,0.19,0.18,0.94
Simple_CNN_Resize,5,0.18,0.3,0.3,0.86
Simple_CNN_CenterCrop,1,1.07,0.29,0.34,0.88
Simple_CNN_CenterCrop,2,0.24,0.21,0.2,0.92
Simple_CNN_CenterCrop,3,0.18,0.14,0.15,0.96
Simple_CNN_CenterCrop,4,0.15,0.14,0.13,0.94
Simple_CNN_CenterCrop,5,0.13,0.14,0.12,0.96
Multilayer_CNN_128_Resize,1,0.28,0.2,0.14,0.96
Multilayer_CNN_128_Resize,2,0.24,0.23,0.33,0.85
Multilayer_CNN_128_Resize,3,0.14,0.15,0.21,0.91
Multilayer_CNN_128_Resize,4,0.17,0.21,0.32,0.89
Multilayer_CNN_128_Resize,5,0.18,0.18,0.18,0.91
Multilayer_CNN_256_Resize,1,0.14,0.29,0.18,0.92
Multilayer_CNN_256_Resize,2,0.11,0.26,0.26,0.9
Multilayer_CNN_256_Resize,3,0.12,0.19,0.3,0.88
Multilayer_CNN_256_Resize,4,0.1,0.21,0.17,0.96
Multilayer_CNN_256_Resize,5,0.11,0.29,0.3,0.88
Multilayer_CNN_128_CenterCrop,1,0.34,0.24,0.23,0.92
Multilayer_CNN_128_CenterCrop,2,0.26,0.26,0.22,0.92
Multilayer_CNN_128_CenterCrop,3,0.24,0.2,0.19,0.91
Multilayer_CNN_128_CenterCrop,4,0.22,0.19,0.18,0.92
Multilayer_CNN_128_CenterCrop,5,0.21,0.19,0.16,0.94
Multilayer_CNN_256_CenterCrop,1,0.22,0.18,0.15,0.93
Multilayer_CNN_256_CenterCrop,2,0.21,0.2,0.17,0.93
Multilayer_CNN_256_CenterCrop,3,0.23,0.17,0.17,0.94
Multilayer_CNN_256_CenterCrop,4,0.24,0.21,0.22,0.89
Multilayer_CNN_256_CenterCrop,5,0.18,0.27,0.16,0.94
